Date,Price,Type
2023-11-03,28.37,Histórico
2023-11-06,28.1,Histórico
2023-11-07,28.4,Histórico
2023-11-08,28.55,Histórico
2023-11-09,29.52,Histórico
2023-11-10,29.15,Histórico
2023-11-13,29.48,Histórico
2023-11-14,30.05,Histórico
2023-11-15,29.95,Histórico
2023-11-16,29.61,Histórico
2023-11-17,29.73,Histórico
2023-11-20,30.13,Histórico
2023-11-21,30.26,Histórico
2023-11-22,30.0,Histórico
2023-11-23,29.64,Histórico
2023-11-24,29.65,Histórico
2023-11-27,29.42,Histórico
2023-11-28,26.78,Histórico
2023-11-29,26.5,Histórico
2023-11-30,26.13,Histórico
2023-12-01,25.9,Histórico
2023-12-04,25.02,Histórico
2023-12-05,24.83,Histórico
2023-12-06,24.89,Histórico
2023-12-07,24.91,Histórico
2023-12-08,24.3,Histórico
2023-12-11,24.05,Histórico
2023-12-12,23.32,Histórico
2023-12-13,23.42,Histórico
2023-12-14,23.88,Histórico
2023-12-15,23.92,Histórico
2023-12-18,23.73,Histórico
2023-12-19,24.02,Histórico
2023-12-20,24.02,Histórico
2023-12-21,24.08,Histórico
2023-12-22,23.73,Histórico
2023-12-27,23.34,Histórico
2023-12-28,23.09,Histórico
2023-12-29,23.11,Histórico
2024-01-02,23.51,Histórico
2024-01-03,23.16,Histórico
2024-01-04,23.13,Histórico
2024-01-05,22.39,Histórico
2024-01-08,22.77,Histórico
2024-01-09,22.63,Histórico
2024-01-10,22.3,Histórico
2024-01-11,21.84,Histórico
2024-01-12,22.03,Histórico
2024-01-15,22.45,Histórico
2024-01-16,20.82,Histórico
2024-01-17,19.64,Histórico
2024-01-18,19.83,Histórico
2024-01-19,19.82,Histórico
2024-01-22,20.0,Histórico
2024-01-23,20.44,Histórico
2024-01-24,20.77,Histórico
2024-01-25,20.36,Histórico
2024-01-26,20.48,Histórico
2024-01-29,20.34,Histórico
2024-01-30,20.33,Histórico
2024-01-31,20.51,Histórico
2024-02-01,20.21,Histórico
2024-02-02,20.2,Histórico
2024-02-05,20.38,Histórico
2024-02-06,19.89,Histórico
2024-02-07,19.42,Histórico
2024-02-08,19.92,Histórico
2024-02-09,22.67,Histórico
2024-02-12,23.65,Histórico
2024-02-13,23.57,Histórico
2024-02-14,24.39,Histórico
2024-02-15,24.47,Histórico
2024-02-16,24.25,Histórico
2024-02-19,23.8,Histórico
2024-02-20,22.98,Histórico
2024-02-21,22.6,Histórico
2024-02-22,22.51,Histórico
2024-02-23,22.15,Histórico
2024-02-26,21.9,Histórico
2024-02-27,21.41,Histórico
2024-02-28,21.38,Histórico
2024-02-29,21.2,Histórico
2024-03-01,20.87,Histórico
2024-03-04,20.69,Histórico
2024-03-05,20.36,Histórico
2024-03-06,20.31,Histórico
