Date,Open,High,Low,Close,Adj Close,Volume
1-Nov-24,13.47,14.28,13.47,14.18,14.18,"833,153"
31-Oct-24,13.27,13.98,12.61,13.64,13.64,"1,431,797"
30-Oct-24,13.89,13.98,13.38,13.38,13.38,"533,862"
29-Oct-24,13.65,14.15,13.63,13.94,13.94,"795,526"
28-Oct-24,13.84,13.94,13.35,13.41,13.41,"432,807"
25-Oct-24,13.31,13.91,13.3,13.76,13.76,"539,058"
24-Oct-24,13.64,14.22,13.34,13.34,13.34,"568,522"
23-Oct-24,13.81,14.02,13.74,13.81,13.81,"468,706"
22-Oct-24,13.39,13.86,13.31,13.77,13.77,"484,986"
21-Oct-24,13.27,13.96,13.27,13.39,13.39,"663,102"
18-Oct-24,13.77,14.03,13.28,13.29,13.29,"545,041"
17-Oct-24,13.06,14.16,13.03,13.66,13.66,"704,690"
16-Oct-24,13.18,13.42,12.94,13.06,13.06,"720,610"
15-Oct-24,13.45,13.53,13.01,13.39,13.39,"518,018"
14-Oct-24,13.07,13.52,13.07,13.45,13.45,"548,081"
11-Oct-24,13.07,13.38,12.81,13,13,"993,840"
10-Oct-24,12.95,13.45,12.8,13.04,13.04,"729,875"
9-Oct-24,13.09,13.35,12.72,13.06,13.06,"1,240,490"
8-Oct-24,13.55,13.67,13.01,13.1,13.1,"1,739,118"
7-Oct-24,14.23,15.38,13.47,13.65,13.65,"3,228,647"
4-Oct-24,10.68,14.2,10.56,14.2,14.2,"5,948,002"
3-Oct-24,10.31,10.64,10.2,10.64,10.64,"774,152"
2-Oct-24,10.41,10.69,10.31,10.34,10.34,"1,259,996"
1-Oct-24,10.17,10.55,9.95,10.34,10.34,"1,090,918"
30-Sep-24,10.58,10.65,9.92,10.1,10.1,"1,866,498"
27-Sep-24,9.88,10.8,9.71,10.48,10.48,"2,593,692"
26-Sep-24,9.76,10.15,9.01,9.89,9.89,"5,257,147"
25-Sep-24,11.41,11.84,11.13,11.42,11.42,"1,097,767"
24-Sep-24,12.32,12.37,11.86,11.96,11.96,"563,482"
23-Sep-24,12.15,12.19,11.82,12.02,12.02,"723,247"
20-Sep-24,12.84,12.85,12.22,12.23,12.23,"2,366,486"
19-Sep-24,12.92,12.98,12.55,12.91,12.91,"918,140"
18-Sep-24,12.2,12.69,12.02,12.6,12.6,"1,489,209"
17-Sep-24,11.36,12.02,11.31,11.83,11.83,"1,247,511"
16-Sep-24,11.61,11.63,11.22,11.32,11.32,"808,152"
13-Sep-24,11.75,12.01,11.53,11.73,11.73,"997,148"
12-Sep-24,11.89,12.07,11.48,11.69,11.69,"1,391,606"
11-Sep-24,13.06,13.2,11.85,12.01,12.01,"1,786,334"
10-Sep-24,13.65,13.9,12.93,13.24,13.24,"1,024,731"
9-Sep-24,14.4,14.43,13.31,13.67,13.67,"1,440,894"
6-Sep-24,15.17,15.23,14.64,14.72,14.72,"683,761"
5-Sep-24,15.47,15.63,15.24,15.24,15.24,"524,043"
4-Sep-24,15.4,15.75,15.19,15.54,15.54,"506,592"
3-Sep-24,16.29,16.29,15.44,15.5,15.5,"936,562"
2-Sep-24,17.18,17.18,16.11,16.32,16.32,"764,128"
30-Aug-24,17.28,17.42,17.15,17.19,17.19,"439,281"
29-Aug-24,17.42,17.42,17.2,17.25,17.25,"271,157"
28-Aug-24,17.37,17.59,17.21,17.5,17.5,"320,924"
27-Aug-24,17.7,18.06,17.41,17.41,17.41,"627,053"
26-Aug-24,17.03,17.3,16.94,17.3,17.3,"250,651"
23-Aug-24,16.85,16.99,16.7,16.99,16.99,"214,985"
22-Aug-24,17.05,17.17,16.76,16.88,16.88,"353,808"
21-Aug-24,16.79,17.08,16.78,17.05,17.05,"201,836"
20-Aug-24,16.99,17,16.69,16.83,16.83,"297,939"
19-Aug-24,16.94,17.08,16.83,16.89,16.89,"641,808"
16-Aug-24,17,17.08,16.82,16.89,16.89,"289,182"
15-Aug-24,17.13,17.29,16.94,16.97,16.97,"544,546"
14-Aug-24,17.22,17.3,16.91,17.07,17.07,"398,704"
13-Aug-24,17.17,17.17,16.9,17.13,17.13,"514,928"
12-Aug-24,17.02,17.13,16.78,17.13,17.13,"375,814"
9-Aug-24,16.59,16.95,16.53,16.9,16.9,"371,573"
8-Aug-24,16.9,16.95,16.59,16.61,16.61,"540,601"
7-Aug-24,17.23,17.32,17.08,17.08,17.08,"278,976"
6-Aug-24,17.32,17.6,16.9,17.05,17.05,"332,242"
5-Aug-24,16.74,17.26,16.34,17.11,17.11,"548,674"
2-Aug-24,18.1,18.14,17.29,17.49,17.49,"728,384"
1-Aug-24,19.03,19.03,18.33,18.33,18.33,"358,805"
31-Jul-24,19.22,19.27,18.82,19,19,"435,814"
30-Jul-24,18.97,19,18.59,18.9,18.9,"266,691"
29-Jul-24,18.98,19.1,18.72,18.95,18.95,"376,191"
26-Jul-24,18.32,19.01,18.27,18.8,18.8,"471,245"
25-Jul-24,18.86,18.93,18.15,18.28,18.28,"536,084"
24-Jul-24,19.41,19.52,18.65,18.93,18.93,"606,617"
23-Jul-24,19.78,19.95,19.45,19.51,19.51,"399,541"
22-Jul-24,19.42,20.06,19.35,19.7,19.7,"783,285"
19-Jul-24,21,21,19.23,19.38,19.38,"2,149,290"
18-Jul-24,22.52,23.03,22.28,22.54,22.54,"405,429"
17-Jul-24,21.94,22.76,21.9,22.48,22.48,"500,489"
16-Jul-24,22.39,22.67,21.72,22,22,"361,635"
15-Jul-24,22.43,22.54,22.1,22.5,22.5,"402,948"
12-Jul-24,22.44,22.91,22.06,22.5,22.5,"369,153"
11-Jul-24,22.58,22.93,22.1,22.41,22.41,"383,917"
10-Jul-24,22.02,22.98,22.02,22.45,22.45,"590,467"
9-Jul-24,21.01,22.18,20.95,22.02,22.02,"630,009"
8-Jul-24,21.32,21.7,20.71,21.2,21.2,"823,182"
5-Jul-24,19.88,20.03,19.66,19.66,19.66,"354,767"
4-Jul-24,19.37,19.6,19.25,19.57,19.57,"455,633"
3-Jul-24,19.66,20.14,19.25,19.47,19.47,"410,828"
2-Jul-24,20.2,20.4,19.54,19.58,19.58,"538,006"
1-Jul-24,21,21.24,20.47,20.47,20.47,"335,884"
28-Jun-24,20.43,20.68,20.32,20.44,20.44,"272,278"
27-Jun-24,20.57,20.81,20.39,20.44,20.44,"209,226"
26-Jun-24,20.81,21.07,20.4,20.77,20.77,"309,832"
