Date,Predicted_Price
2023-11-04,27.065284925095757
2023-11-05,26.42599540055047
2023-11-06,25.72888776502855
2023-11-07,24.974900691185006
2023-11-08,24.16497285167482
2023-11-09,23.300042919152986
2023-11-10,22.381049566274427
2023-11-11,21.408931465694266
2023-11-12,20.38462729006737
2023-11-13,19.309075712048838
2023-11-14,18.18321540429349
2023-11-15,17.007985039456514
2023-11-16,15.78432329019273
2023-11-17,14.513168829157252
2023-11-18,13.19546032900493
2023-11-19,11.832136462390935
2023-11-20,10.424135901970146
2023-11-21,8.972397320397477
2023-11-22,7.477859390328092
2023-11-23,5.941460784416904
2023-11-24,4.3641401753187665
2023-11-25,2.7468362356888747
2023-11-26,1.0904876381822532
2023-11-27,-0.6039669445463574
2023-11-28,-2.3355888398418756
2023-11-29,-4.103439375049447
2023-11-30,-5.90657987751365
2023-12-01,-7.744071674579686
2023-12-02,-9.614976093593214
2023-12-03,-11.518354461897957
2023-12-04,-13.453268106839914
2023-12-05,-15.418778355763948
2023-12-06,-17.41394653601492
2023-12-07,-19.437833974937803
2023-12-08,-21.489501999878144
2023-12-09,-23.568011938179552
2023-12-10,-25.672425117188595
2023-12-11,-27.801802864249566
2023-12-12,-29.955206506707327
2023-12-13,-32.13169737190742
2023-12-14,-34.33033678719448
2023-12-15,-36.550186079914056
2023-12-16,-38.79030657741009
2023-12-17,-41.049759607028136
2023-12-18,-43.32760649611373
2023-12-19,-45.62290857201174
2023-12-20,-47.934727162066565
2023-12-21,-50.26212359362307
2023-12-22,-52.604159194027034
2023-12-23,-54.959895290622626
2023-12-24,-57.32839321075653
2023-12-25,-59.7087142817727
2023-12-26,-62.09991983101554
2023-12-27,-64.50107118583082
2023-12-28,-66.91122967356205
2023-12-29,-69.32945662155635
2023-12-30,-71.75481335715995
2023-12-31,-74.18636120771271
2024-01-01,-76.62316150056404
2024-01-02,-79.06427556305698
2024-01-03,-81.50876472253822
2024-01-04,-83.95569030635124
2024-01-05,-86.40411364184183
2024-01-06,-88.8530960563553
2024-01-07,-91.30169887723423
2024-01-08,-93.74898343182849
2024-01-09,-96.19401104747703
2024-01-10,-98.63584305153017
2024-01-11,-101.07354077132823
2024-01-12,-103.50616553422151
2024-01-13,-105.93277866754943
2024-01-14,-108.35244149866139
2024-01-15,-110.76421535490044
2024-01-16,-113.16716156361417
2024-01-17,-115.56034145214107
2024-01-18,-117.94281634783329
2024-01-19,-120.31364757803294
2024-01-20,-122.67189647008672
2024-01-21,-125.01662435133312
2024-01-22,-127.34689254912519
2024-01-23,-129.66176239080596
2024-01-24,-131.96029520371667
2024-01-25,-134.2415523152049
2024-01-26,-136.50459505261915
2024-01-27,-138.7484847432961
2024-01-28,-140.97228271459062
2024-01-29,-143.1750502938412
2024-01-30,-145.35584880839633
2024-01-31,-147.51373958559452
2024-02-01,-149.64778395278154
2024-02-02,-151.75704323731588
2024-02-03,-153.8405787665306
2024-02-04,-155.89745186776418
2024-02-05,-157.9267238683824
2024-02-06,-159.9274560957092
2024-02-07,-161.89870987710674
2024-02-08,-163.83954653990259
2024-02-09,-165.7490274114607
2024-02-10,-167.62621381911595
2024-02-11,-169.47016709020681
2024-02-12,-171.27994855208635
2024-02-13,-173.05461953210215
